Jones county (GA state)

834 records retrieved

Color Legend: Blue=Motorola, Green=LTR, Yellow=EDACS
Freq	Type	City	Call	  Licensee	Elev	Site Name
31.10000000	FB	EAST JULIETTE	WPCH411	GEORGIA,STATE OF (GTA DNR JARRELL PLANTATION)	155.0	 
31.14000000	FB	EAST JULIETTE	WPCH411	GEORGIA,STATE OF (GTA DNR JARRELL PLANTATION)	155.0	 
43.06000000	MO	MACON	WPAG378	REEVES CONSTRUCTION CO INC (DEAN HAYMAN)	148.0	 
43.06000000	MO	MACON	KRN209	REEVES CONSTRUCTION COMPANY (Jarrod)	148.0	 
43.06000000	FB	MACON	WPAG378	REEVES CONSTRUCTION CO INC (DEAN HAYMAN)	148.0	 
43.06000000	FB	MACON	KRN209	REEVES CONSTRUCTION COMPANY (Jarrod)	148.0	 
43.08000000	MO	GRAY	KAS732	Gray Ready Mix USA LLC. (PHIL A BIVINS)	168.0	 
43.08000000	FB	GRAY	KAS732	Gray Ready Mix USA LLC. (PHIL A BIVINS)	168.0	 
43.28000000	MO	GRAY	KAS732	Gray Ready Mix USA LLC. (PHIL A BIVINS)	168.0	 
43.28000000	FB	GRAY	KAS732	Gray Ready Mix USA LLC. (PHIL A BIVINS)	168.0	 
45.56000000	FB	GRAY	KYY991	GEORGIA, STATE OF (GA EMERGENCY MANAGEMENT AGENCY)	186.0	 
48.02000000	FB	MACON	WNDZ674	ATLANTA GAS LIGHT COMPANY (Network Engineering)	99.0	 
48.26000000	FB	MACON	WNDZ674	ATLANTA GAS LIGHT COMPANY (Network Engineering)	99.0	 
48.54000000	FB	MACON	WNDZ674	ATLANTA GAS LIGHT COMPANY (Network Engineering)	99.0	 
96.50000000	FM	GRAY	WIHB-FM	IHM LICENSES, LLC	 	 
150.90500000	MO	GRAY	WPKL234	JONES, COUNTY OF (G B BUTCH MOORE III)	180.0	 
151.02500000	FX1	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.07750000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
151.07750000	FB2	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
151.07750000	FB2	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
